Name,Type,Tag,Rotation,StartAngle,SweepAngle,CenterX,CenterY,CenterZ
M_Smoke Detector:Smoke Detector:Smoke Detector:610319,IfcFlowController,610319,180,0,-360,6.586722219568149,-13.15559361780616,5.700000000000196
M_Smoke Detector:Smoke Detector:Smoke Detector:610482,IfcFlowController,610482,270,0,-360,6.600880376026714,-4.781482677333041,5.700000000000196
M_Smoke Detector:Smoke Detector:Smoke Detector:610469,IfcFlowController,610469,0,0,-360,2.089203662435074,-4.743648206183985,5.700000000000196
M_Smoke Detector:Smoke Detector:Smoke Detector:610426,IfcFlowController,610426,90,0,-360,2.240912766630895,-13.15064483824097,5.700000000000196
M_Centrifugal Fan -  Rooftop  - Upblast:991-1905 LPS:991-1905 LPS:602113,IfcFlowMovingDevice,602113,0,0,360,4.880215668493201,-7.399134549712083,6.456999999999823
M_Centrifugal Fan -  Rooftop  - Upblast:991-1905 LPS:991-1905 LPS:602113,IfcFlowMovingDevice,602113,0,0,360,4.880215668493201,-7.399134549712083,6.456999999999823
M_Centrifugal Fan -  Rooftop  - Upblast:991-1905 LPS:991-1905 LPS:602113,IfcFlowMovingDevice,602113,0,0,360,4.880215668493201,-7.399134549712083,6.456999999999823
M_Centrifugal Fan -  Rooftop  - Upblast:991-1905 LPS:991-1905 LPS:602113,IfcFlowMovingDevice,602113,0,0,360,4.880215668493201,-7.399134549712083,6.456999999999823
M_Centrifugal Fan -  Rooftop  - Upblast:991-1905 LPS:991-1905 LPS:602396,IfcFlowMovingDevice,602396,0,0,360,3.505287898013712,-10.81217133930871,6.456999999999823
M_Centrifugal Fan -  Rooftop  - Upblast:991-1905 LPS:991-1905 LPS:602396,IfcFlowMovingDevice,602396,0,0,360,3.505287898013712,-10.81217133930871,6.456999999999823
M_Centrifugal Fan -  Rooftop  - Upblast:991-1905 LPS:991-1905 LPS:602396,IfcFlowMovingDevice,602396,0,0,360,3.505287898013712,-10.81217133930871,6.456999999999823
M_Centrifugal Fan -  Rooftop  - Upblast:991-1905 LPS:991-1905 LPS:602396,IfcFlowMovingDevice,602396,0,0,360,3.505287898013712,-10.81217133930871,6.456999999999823
