Tag,Rotation,StartAngle,SweepAngle,CenterX,CenterY,CenterZ
171853,180,180,90,2.634969165042814,1.3139489496438728e-13,0
146596,270,92.33515167,87.66484833,8.799999999999955,-16.803000000000022,0
171975,0,180,90,6.164999999999996,-17.80000000000012,0
146678,90,92.33515167,87.66484833,1.9484414082171497e-14,-0.9969999999999866,0
150257,90,180,86.17088318,2.5739999999999807,-7.748999999999982,0
150173,270,180,86.17088318,6.226000000000021,-10.053000000000024,0
150378,0,93.377388,86.622612,2.3473000000000193,-6.126000000000018,3.1000000000001955
150478,180,93.377388,86.622612,6.45729999999996,-11.673999999999985,3.1000000000001964
160065,270,93.377388,86.622612,2.505999999999982,-9.870051178510613,3.100000000000378
159734,0,180,86.622612,2.281999999999992,-11.67399999999998,3.100000000000378
160208,90,93.377388,86.622612,6.294000000000018,-7.945384235071505,3.100000000000378
159834,180,180,86.622612,6.478000000000009,-6.1260000000000225,3.100000000000378
203720,180,93.82911682,86.17088318,2.525999999999973,-10.094051178510579,3.100000000000378
204034,0,93.82911682,86.17088318,6.293375000000029,-7.721384235071538,3.100000000000378
